SourceFile,proportion,median_rank,School,Normalized Proportion,Normalized Median Rank,Specialty
Case Western_match_list.csv,0.01675977653631285,38.0,Case Western,-0.9547243770904753,-0.6390679889190485,Family Medicine
UPenn_match_list.csv,0.017094017094017096,70.5,UPenn,-0.9471971203238838,-0.31028274987925475,Family Medicine
Hopkins_match_list.csv,0.01904761904761905,81.5,Hopkins,-0.9032010726105826,-0.19900159205040147,Family Medicine
NYU_match_list.csv,0.02127659574468085,17.0,NYU,-0.8530034543419489,-0.8515138356832229,Family Medicine
Columbia_match_list.csv,0.024390243902439025,54.0,Columbia,-0.7828826128580483,-0.4772044866225347,Family Medicine
Vanderbilt_match_list.csv,0.025,45.5,Vanderbilt,-0.7691506147341177,-0.5631944722175577,Family Medicine
Rutgers_match_list.csv,0.02857142857142857,153.0,Rutgers,-0.6887203400082389,0.5243259338371449,Family Medicine
UCLA_match_list.csv,0.03125,87.0,UCLA,-0.6283976339638296,-0.14336101313597482,Family Medicine
Northwestern_match_list.csv,0.03225806451612903,345.0,Northwestern,-0.6056955402912025,2.4666879613953108,Family Medicine
Pitt_match_list.csv,0.034482758620689655,45.0,Pitt,-0.5555943680481634,-0.5682527066643237,Family Medicine
Emory_match_list.csv,0.036036036036036036,90.5,Emory,-0.5206138198604559,-0.10795337200861242,Family Medicine
Yale_match_list.csv,0.03636363636363636,80.5,Yale,-0.5132361042426848,-0.2091180609439336,Family Medicine
University of Utah_match_list.csv,0.03773584905660377,169.5,University of Utah,-0.48233321995692696,0.6912476705804247,Family Medicine
Einstein_match_list.csv,0.041666666666666664,28.0,Einstein,-0.3938093326800162,-0.7402326778543696,Family Medicine
UCSD_match_list.csv,0.043478260869565216,53.0,UCSD,-0.35301136723935295,-0.48732095551606674,Family Medicine
Stanford_match_list.csv,0.04838709677419355,92.0,Stanford,-0.24246204152916878,-0.09277866866831425,Family Medicine
USC Keck_match_list.csv,0.05517241379310345,311.5,USC Keck,-0.08965346618789938,2.127786253461985,Family Medicine
Brown_match_list.csv,0.056074766355140186,59.5,Brown,-0.06933205613791901,-0.42156390770810803,Family Medicine
Mayo_match_list.csv,0.058823529411764705,545.5,Mayo,-0.007428601153735136,4.4950399745485,Family Medicine
UVA_match_list.csv,0.06015037593984962,54.5,UVA,0.02245261546269041,-0.4721462521757686,Family Medicine
Baylor_match_list.csv,0.0641025641025641,139.0,Baylor,0.11145777777742816,0.3826953693276952,Family Medicine
Sydney Kimmel_match_list.csv,0.06698564593301436,51.5,Sydney Kimmel,0.17638615560791335,-0.5024956588563649,Family Medicine
Geisel (Dartmouth)_match_list.csv,0.0684931506849315,37.0,Geisel (Dartmouth),0.21033588158514727,-0.6491844578125806,Family Medicine
McGovern_match_list.csv,0.07179487179487179,70.0,McGovern,0.28469221564855196,-0.3153409843260208,Family Medicine
OhioState_match_list.csv,0.0718232044198895,108.0,OhioState,0.2853302798764383,0.0690848336281996,Family Medicine
UTSW_match_list.csv,0.07425742574257425,58.0,UTSW,0.3401501050000339,-0.43673861104840617,Family Medicine
University of Miami_match_list.csv,0.078125,94.0,University of Miami,0.42724972181333104,-0.07254573088125002,Family Medicine
UMich_match_list.csv,0.08387096774193549,43.0,UMich,0.5566516557473057,-0.588485644451388,Family Medicine
University of Florida_match_list.csv,0.09090909090909091,72.0,University of Florida,0.7151535461161931,-0.29510804653895656,Family Medicine
University of Alabama_match_list.csv,0.10884353741496598,86.0,University of Alabama,1.1190458347829442,-0.15347748202950695,Family Medicine
UChicago_match_list.csv,0.11494252873563218,98.0,UChicago,1.2563980280750855,-0.032079855307121555,Family Medicine
University of Iowa_match_list.csv,0.11538461538461539,73.0,University of Iowa,1.2663540302515872,-0.28499157764542443,Family Medicine
Colorado_match_list.csv,0.12030075187969924,83.0,Colorado,1.377067768740651,-0.1838268887101033,Family Medicine
UNC_match_list.csv,0.12666666666666668,39.0,UNC,1.5204312057959022,-0.6289515200255164,Family Medicine
UWashington_match_list.csv,0.1606425702811245,83.0,UWashington,2.285584759091733,-0.1838268887101033,Family Medicine
University of Minnesota_match_list.csv,0.2087378640776699,151.0,University of Minnesota,3.3687137131535745,0.5040929960500806,Family Medicine
University of Minnesota_match_list.csv,0.0048543689320388345,214.0,University of Minnesota,-2.1778163091544998,4.311728034583336,General Surgery
